USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
khoahung           634   0.0  0.1  4901712  11200   ??  Ss    1:45PM   0:00.13 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
root               633   0.0  0.0  4407828   5332   ??  Ss    1:45PM   0:00.05 /System/Library/PrivateFrameworks/AssetCacheServicesExtensions.framework/XPCServices/AssetCacheTetheratorService.xpc/Contents/MacOS/AssetCacheTetheratorService
_assetcache        632   0.0  0.0  4334640   1168   ??  S     1:45PM   0:00.03 /usr/sbin/distnoted agent
_assetcache        631   0.0  0.0  4431560   6672   ??  Ss    1:45PM   0:00.08 /usr/libexec/AssetCache/AssetCache
khoahung           630   0.0  0.0  4839560   4180   ??  S     1:45PM   0:00.02 /usr/libexec/SidecarRelay
khoahung           629   0.0  0.1  4432544   8488   ??  S     1:45PM   0:00.13 /System/Library/PrivateFrameworks/AssetCacheServices.framework/Versions/A/XPCServices/AssetCacheLocatorService.xpc/Contents/MacOS/AssetCacheLocatorService -a
khoahung           624   0.0  0.0  4391024   2000   ??  Ss    1:45PM   0:00.01 /System/Library/PrivateFrameworks/IMFoundation.framework/XPCServices/IMRemoteURLConnectionAgent.xpc/Contents/MacOS/IMRemoteURLConnectionAgent
khoahung           590   0.0  0.0  4421876   5208   ??  S     1:45PM   0:00.02 /System/Library/CoreServices/Menu Extras/SafeEjectGPUExtra.menu/Contents/XPCServices/SafeEjectGPUService.xpc/Contents/MacOS/SafeEjectGPUService
khoahung           589   0.0  0.0  4821628   3252   ??  S     1:45PM   0:00.01 SafeEjectGPUAgent
khoahung           588   0.0  0.1  4440636  17856   ??  S     1:45PM   0:00.96 /System/Library/PrivateFrameworks/CommerceKit.framework/Versions/A/Resources/commerce
khoahung           580   0.0  0.0  4429756   7552   ??  S     1:45PM   0:00.16 /System/Library/PrivateFrameworks/UsageTracking.framework/Versions/A/UsageTrackingAgent
khoahung           576   0.0  0.0  4437208   5588   ??  S     1:45PM   0:00.10 /usr/libexec/neagent
khoahung           573   0.0  0.2  5112244  31920   ??  S     1:45PM   0:00.42 /System/Library/CoreServices/RemoteManagement/SSMenuAgent.app/Contents/MacOS/SSMenuAgent
khoahung           572   0.0  0.1  4437288   9848   ??  Ss    1:45PM   0:00.36 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider
khoahung           571   0.0  0.0  4441324   8296   ??  S     1:45PM   0:00.06 /System/Library/CoreServices/RemoteManagement/ARDAgent.app/Contents/MacOS/ARDAgent
khoahung           568   0.0  0.1  4431224   8480   ??  Ss    1:45PM   0:00.25 /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/XPCServices/ContainerMetadataExtractor.xpc/Contents/MacOS/ContainerMetadataExtractor
